Invoices_h_r_id,Account_id,Emp_id,Date_d,Time_t,Total_total
2218,329,23,18/05/2022,07:43:42 م,64
2231,336,23,19/05/2022,02:32:06 م,146.5
2246,1633,23,21/05/2022,02:59:14 م,1194
2200,2268,22,17/05/2022,08:02:01 م,193
2172,1954,22,16/05/2022,07:15:52 م,307
2219,453,23,18/05/2022,07:43:57 م,71.5
2232,354,1,19/05/2022,02:32:36 م,146
2220,210,1,18/05/2022,07:44:15 م,4250
2201,252,1,17/05/2022,09:08:09 م,369
2173,2071,15,16/05/2022,07:41:18 م,320
2233,405,22,19/05/2022,03:03:54 م,4650
2221,682,22,18/05/2022,07:59:23 م,226
2202,252,1,17/05/2022,09:10:17 م,
2174,625,1,16/05/2022,07:47:07 م,
2222,2306,0,18/05/2022,09:35:17 م,348
2175,625,1,16/05/2022,07:49:21 م,126
2203,252,1,17/05/2022,09:27:37 م,65
2176,1485,22,16/05/2022,08:05:38 م,117
2204,297,1,17/05/2022,09:28:17 م,218
2177,502,23,16/05/2022,08:05:46 م,193
2205,2310,0,17/05/2022,09:29:23 م,
2178,256,23,16/05/2022,08:06:37 م,418.5
2206,2309,0,17/05/2022,09:29:37 م,94.5
2179,2233,22,16/05/2022,08:07:15 م,395
2207,956,22,17/05/2022,09:30:12 م,66.5
2180,1831,22,16/05/2022,08:07:52 م,196
2181,651,15,16/05/2022,08:49:55 م,
2182,651,15,16/05/2022,08:50:28 م,412.5
2183,1954,22,16/05/2022,09:06:04 م,550
2184,1643,23,16/05/2022,09:08:04 م,262
2185,1954,22,16/05/2022,09:08:05 م,
2186,1954,22,16/05/2022,09:08:26 م,617
2208,325,15,17/05/2022,10:27:22 م,448.5
2223,601,23,18/05/2022,09:36:59 م,174
2234,935,22,19/05/2022,04:49:29 م,
2247,301,22,21/05/2022,03:00:31 م,61.5
2265,1576,15,22/05/2022,01:24:27 م,194
2286,2249,0,23/05/2022,01:00:22 م,465
2315,594,15,24/05/2022,10:25:22 ص,70
2209,1108,15,18/05/2022,11:11:53 ص,459
2235,935,22,19/05/2022,04:50:11 م,141.5
2248,261,1,21/05/2022,03:35:32 م,576
2287,2249,0,23/05/2022,01:15:07 م,
2267,736,23,22/05/2022,02:49:14 م,80
2224,2281,15,18/05/2022,09:58:48 م,485
2316,1377,15,24/05/2022,12:02:08 م,62
2236,2247,0,19/05/2022,05:50:19 م,127
2288,2249,0,23/05/2022,01:17:45 م,
2268,1545,15,22/05/2022,03:03:45 م,129.5
2251,194,0,21/05/2022,06:03:56 م,87
2317,918,22,24/05/2022,01:08:22 م,217
2237,2280,23,19/05/2022,05:58:56 م,1912
2289,2249,0,23/05/2022,01:19:21 م,88
2252,659,23,21/05/2022,06:06:46 م,237
2269,2249,0,22/05/2022,03:14:17 م,
2238,1942,15,19/05/2022,07:18:04 م,180
2290,1061,1,23/05/2022,01:20:12 م,135
2253,682,22,21/05/2022,06:08:52 م,45
2239,1855,23,19/05/2022,07:18:50 م,82
2270,1485,22,22/05/2022,04:11:07 م,436
2254,1909,15,21/05/2022,06:09:16 م,1146
2240,1701,15,19/05/2022,07:35:54 م,284
2271,1485,22,22/05/2022,04:37:27 م,85.5
2255,373,22,21/05/2022,06:09:28 م,184
2291,753,23,23/05/2022,02:28:53 م,421
2241,1701,15,19/05/2022,08:08:14 م,30
2272,1757,22,22/05/2022,05:33:29 م,221
2242,529,14,19/05/2022,09:34:18 م,73000.5
2256,314,22,21/05/2022,07:14:38 م,
2243,733,23,19/05/2022,10:05:06 م,320.5
2257,651,15,21/05/2022,08:18:57 م,402.5
2244,733,23,19/05/2022,10:14:27 م,277
